
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
08:95:2A:58:3F:8A, 2016-06-20 15:47:41, 2016-06-20 15:48:01, 11,  54, WPA2, CCMP,PSK, -74,        6,        0,   0.  0.  0.  0,  10, TimDonahue, 
78:71:9C:94:F3:10, 2016-06-20 15:47:36, 2016-06-20 15:47:53, 11,  54, WPA2, CCMP,PSK, -72,        6,        0,   0.  0.  0.  0,  11, Waterloo841, 
00:25:84:24:45:31, 2016-06-20 15:47:45, 2016-06-20 15:47:45,  6,  54, WPA2, CCMP, MGT, -72,        1,        0,   0.  0.  0.  0,   9, UNL-AIR-E, 
30:F7:72:95:E2:8D, 2016-06-20 15:47:33, 2016-06-20 15:48:02,  1,  54, WPA2, CCMP,PSK, -69,        6,        0,   0.  0.  0.  0,  10, WIFI95E28A, 
A4:0C:C3:D0:6F:82, 2016-06-20 15:47:36, 2016-06-20 15:48:02,  6,  54, OPN, ,   , -61,       14,        0,   0.  0.  0.  0,   9, UNL-Guest, 
A4:0C:C3:96:9D:41, 2016-06-20 15:47:36, 2016-06-20 15:48:02, 11,  54, WPA2, CCMP, MGT, -58,       15,        0,   0.  0.  0.  0,   9, UNL-AIR-E, 
A4:0C:C3:96:9D:43, 2016-06-20 15:47:36, 2016-06-20 15:48:01, 11,  54, OPN, ,   , -60,       14,        0,   0.  0.  0.  0,  25, UNL-Wireless-Registration, 
A4:0C:C3:96:9D:40, 2016-06-20 15:47:36, 2016-06-20 15:48:02, 11,  54, OPN, ,   , -60,       14,        0,   0.  0.  0.  0,   7, UNL-AIR, 
A4:0C:C3:96:9D:42, 2016-06-20 15:47:36, 2016-06-20 15:48:02, 11,  54, OPN, ,   , -59,       13,        0,   0.  0.  0.  0,   9, UNL-Guest, 
A4:0C:C3:96:9D:44, 2016-06-20 15:47:36, 2016-06-20 15:48:02, 11,  54, OPN, ,   , -59,       15,        0,   0.  0.  0.  0,  14, UNL-Conference, 
A4:0C:C3:96:9D:45, 2016-06-20 15:47:36, 2016-06-20 15:48:01, 11,  54, WPA2, CCMP, MGT, -59,       13,        0,   0.  0.  0.  0,   7, eduroam, 
